0.1681s
0.1788s
0.1995s
0.1650s
0.1811s
0.1463s
0.1639s
0.1784s
0.1450s
0.1644s
0.1806s
0.1444s
0.1648s
0.1910s
0.1375s
0.1656s
0.1696s
0.1374s
0.1642s
0.1790s
0.1481s
0.1631s
0.1773s
0.1236s
0.1641s
0.2180s
0.1163s
0.1641s
0.2710s
0.1153s
0.1633s
0.2956s
0.1415s
